Buchungsdatum;Valuta;Empfänger/Auftraggeber;Betrag;Währung;Verwendungszweck;Referenz;IBAN
01.01.2024;01.01.2024;Ahmet Yılmaz;50,00;EUR;Mitgliedsbeitrag Januar 2024 - Mitglied 12345;REF-2024-001;DE89370400440532013000
05.01.2024;05.01.2024;Mehmet Demir;100,00;EUR;Mitgliedsbeitrag Januar 2024 - Mitglied 12346;REF-2024-002;DE89370400440532013001
10.01.2024;10.01.2024;Ayşe Kaya;75,50;EUR;Spende - Mitglied 12347;REF-2024-003;DE89370400440532013002
15.01.2024;15.01.2024;Fatma Öz;50,00;EUR;Mitgliedsbeitrag Januar 2024 - Mitglied 12348;REF-2024-004;DE89370400440532013003
20.01.2024;20.01.2024;Ali Şahin;150,00;EUR;Mitgliedsbeitrag + Spende - Mitglied 12349;REF-2024-005;DE89370400440532013004
25.01.2024;25.01.2024;Zeynep Arslan;50,00;EUR;Mitgliedsbeitrag Januar 2024 - Mitglied 12350;REF-2024-006;DE89370400440532013005
28.01.2024;28.01.2024;Mustafa Çelik;200,00;EUR;Veranstaltung Teilnahme - Mitglied 12351;REF-2024-007;DE89370400440532013006
01.02.2024;01.02.2024;Elif Yıldız;50,00;EUR;Mitgliedsbeitrag Februar 2024 - Mitglied 12352;REF-2024-008;DE89370400440532013007
05.02.2024;05.02.2024;Hasan Kurt;100,00;EUR;Mitgliedsbeitrag Februar 2024 - Mitglied 12353;REF-2024-009;DE89370400440532013008
10.02.2024;10.02.2024;Selin Aydın;50,00;EUR;Mitgliedsbeitrag Februar 2024 - Mitglied 12354;REF-2024-010;DE89370400440532013009
15.02.2024;15.02.2024;Can Yılmaz;80,00;EUR;Spende - Mitglied 12355;REF-2024-011;DE89370400440532013010
20.02.2024;20.02.2024;Deniz Kara;50,00;EUR;Mitgliedsbeitrag Februar 2024 - Mitglied 12356;REF-2024-012;DE89370400440532013011
25.02.2024;25.02.2024;Ece Demir;50,00;EUR;Mitgliedsbeitrag Februar 2024 - Mitglied 12357;REF-2024-013;DE89370400440532013012
01.03.2024;01.03.2024;Burak Yıldırım;120,00;EUR;Mitgliedsbeitrag März 2024 - Mitglied 12358;REF-2024-014;DE89370400440532013013
05.03.2024;05.03.2024;Gamze Özkan;50,00;EUR;Mitgliedsbeitrag März 2024 - Mitglied 12359;REF-2024-015;DE89370400440532013014
10.03.2024;10.03.2024;Emre Koç;90,00;EUR;Spende + Mitgliedsbeitrag - Mitglied 12360;REF-2024-016;DE89370400440532013015

